# idx tvec_x tvec_y tvecKennan_x tvecKennan_y diferença
0 1.2459420649164183e-12 -1.0 1.2459420649164183e-12 -1.0 0.0
1 5.1442083388488693e-05 -0.999999998676856 0.9999999999998753 -4.991057966674328e-07 1.4141768339290637
2 0.027888059310931846 -0.9996110524338303 0.9999997755143832 -0.0006700531196728139 1.393873849704767
3 -0.02587433685480575 -0.9996652033017475 0.9999989613369218 0.0014412928494428507 1.433398144473086
4 2.406348889102964e-07 -0.999999999999971 0.9999999999997864 -6.536083079873973e-07 1.414212930047525
5 0.007856553064873102 -0.9999691368107012 0.9999990400677938 -0.0013855913868022597 1.4076632451363162
6 -0.009095202292584646 -0.9999586377922125 0.9999970225364693 0.0024402701072857 1.422346894666894
7 4.3081562953812624e-07 -0.9999999999999073 0.9999999999992519 -1.2232331926612527e-06 1.414212392783473
8 5.018384220198544e-07 -0.9999999999998741 0.9999999999989696 -1.435456826982348e-06 1.4142121924978237
9 5.783443856415987e-07 -0.9999999999998327 0.9999999999986156 -1.6639856136359325e-06 1.4142119768054582
10 6.617468729840426e-07 -0.9999999999997811 0.9999999999981706 -1.912935715349412e-06 1.4142117417964057
11 7.53853418005809e-07 -0.9999999999997159 0.9999999999976074 -2.1875778204471424e-06 1.4142114824655905
12 8.570149329383129e-07 -0.9999999999996328 0.9999999999968877 -2.4949701716422354e-06 1.4142111921597111
13 9.744202320758326e-07 -0.9999999999995253 -0.999999999997382 2.2882897326737577e-06 1.4142158694555544
14 -0.00015104579388455072 -0.9999999885925838 -0.9999990875568382 0.0013508832261795538 1.415061721307382
15 -0.00011500564407470012 -0.9999999933868507 -0.9999992292062789 -0.0012416065592385295 1.4132539671931177
16 0.0008791785329951173 -0.9999996135224788 -0.9999970519276599 0.002428196035964802 1.416550296345763
17 -0.0014882313343478162 -0.9999988925831347 -0.9999974723487847 -0.0022483985504600057 1.4115688976219591
18 2.05211746031166e-06 -0.9999999999978944 -0.9999999999994402 1.0581478120375486e-06 1.4142157616610505
19 2.505295937124168e-06 -0.9999999999968618 -0.999999999999625 8.660264857994652e-07 1.4142159462560326
20 3.1012907289158303e-06 -0.9999999999951912 -0.9999999999997449 7.14040357286792e-07 1.4142162602170052
21 4.135266440447911e-06 -0.9999999999914496 -0.9999999999998559 5.368761924520404e-07 1.4142168660729746
22 0.012980952422782886 -0.9999157438875524 -0.999999722110446 0.0007455058893141679 1.4238865066369566
23 -0.06539606906953482 -0.9978593859608941 -0.9999996358755407 -0.000853374938383062 1.3665667978922684
24 4.229329011249557e-15 1.0 1.2459420857701943e-12 -1.0 2.0
25 -0.02679706845011806 0.99964089408271 -0.999999922912943 0.0003926501087642359 1.3948551354960144
26 6.130849701772513e-06 0.9999999999812065 -0.9999999999999336 -3.645305618109939e-07 1.4142181552930677
27 4.135266440464132e-06 0.9999999999914498 -0.9999999999998559 -5.368786843366506e-07 1.4142168660747365
28 3.101290728930202e-06 0.9999999999951911 -0.9999999999997449 -7.140428491712345e-07 1.4142162602187671
29 2.50529593713254e-06 0.9999999999968618 -0.999999999999625 -8.660289776793916e-07 1.4142159462577946
30 2.052117460334629e-06 0.9999999999978944 -0.9999999999994402 -1.0581503039178486e-06 1.4142157616628124
31 1.7116594625576829e-06 0.9999999999985351 -0.9999999999991631 -1.2937419008834399e-06 1.4142156875111824
32 1.4729858063479032e-06 0.9999999999989151 -0.9999999999989151 -1.472967165049808e-06 1.414215645474884
33 1.2745006514046913e-06 0.9999999999991878 -0.9999999999986129 -1.665551498974173e-06 1.4142156413023794
34 1.1083947425311803e-06 0.9999999999993858 -0.9999999999980793 -1.9599147643847023e-06 1.41421573199389
35 9.74420232146479e-07 0.9999999999995253 -0.999999999997382 -2.288292224559858e-06 1.4142158694573166
36 8.570149330224871e-07 0.9999999999996328 0.9999999999968877 2.4949726635251383e-06 1.414211192157949
37 7.538534181068626e-07 0.9999999999997159 0.9999999999976074 2.187580312331272e-06 1.4142114824638283
38 6.617468731042218e-07 0.9999999999997811 0.9999999999981706 1.912938207233234e-06 1.4142117417946436
39 5.783443857813539e-07 0.9999999999998328 0.9999999999986156 1.6639881055169398e-06 1.414211976803696
40 5.018384221805568e-07 0.9999999999998741 0.9999999999989696 1.4354593188621017e-06 1.4142121924960616
41 4.308156297402375e-07 0.9999999999999071 0.9999999999992519 1.2232356845435606e-06 1.4142123927817107
42 -0.00909520229258441 0.9999586377922124 0.999997022536475 -0.0024402701047938286 1.4223468946651416
43 0.007856553064873423 0.9999691368107011 0.9999990400677903 0.001385591389294141 1.4076632451345457
44 2.4063488936125183e-07 0.9999999999999711 0.9999999999997864 6.536107998715271e-07 1.4142129300457629
45 -0.025874336854805106 0.9996652033017475 0.9999989613369253 -0.0014412928469509695 1.433398144471348
46 0.02788805931093279 0.9996110524338304 0.9999997755143815 0.0006700531221646975 1.3938738497029792
47 5.144208339033801e-05 0.999999998676856 0.9999999999998753 4.991082885514239e-07 1.4141768339273004
48 6.622601236044133e-15 -1.0 1.2459425991168988e-12 -1.0 1.2393199978808546e-12
49 0.3247905769092922 -0.9457859594807535 0.9999909201966868 0.004261399322229242 1.1655408562311056
50 0.09074899977637652 -0.995873796743135 0.9999382230602872 0.011115307599664209 1.3567063425814423
51 0.1179724128590573 -0.9930168728698482 0.9999097346560872 0.013435867668047212 1.3381930199021208
52 0.07904011753260703 -0.9968714359537201 0.9998017182745279 0.019912913782316043 1.371733333876872
53 0.10082969029128289 -0.9949037006443207 0.9998118729491139 0.0193963581629294 1.3553499821199795
54 0.08621914287140232 -0.9962761963444278 0.9996887847740561 0.024946614940126212 1.3701543040715125
55 0.10017200218803704 -0.9949701352189623 0.9997704092305865 0.021427291637210206 1.3573286349566713
56 0.0951305670909176 -0.9954648035992837 0.999701077939257 0.024449023847349705 1.363257871612435
57 0.10085221560117306 -0.9949014175325789 0.9998101156985651 0.019486727452860897 1.355399798891277
58 0.10280598019187927 -0.9947014277846327 0.999892476707617 0.014664072541677753 1.3504010128402095
59 0.10397392768990589 -0.9945800231055992 0.9999704668022297 0.007685409769887776 1.3443756156812534
60 0.1041967198734439 -0.9945567070648185 -0.999999878661692 -0.0004926221684617072 1.485736697095887
61 0.10387761984345557 -0.9945900864656044 -0.999966017086343 -0.008244068927139362 1.4803206548259722
62 0.10269450170501031 -0.9947129431748436 -0.9998872956772094 -0.01501319230933225 1.4749570237008776
63 0.10096358742570656 -0.9948901215783237 -0.9997692842754062 -0.021479716465580004 1.4694014671372608
64 0.09893047933566768 -0.9950943474155678 -0.9997839432471239 -0.020786217193887704 1.46848551746604
65 0.09530802640308556 -0.9954478289208072 -0.9997264336213165 -0.023389269308885244 1.4642398409945476
66 0.09018564860558215 -0.9959249714640106 -0.9996768769518951 -0.025419317215562003 1.4593428485255724
67 0.09427830996236577 -0.9955458805452615 -0.9998039334125879 -0.019801382091099756 1.4659786088248135
68 0.09161652687146682 -0.995794362307806 -0.9998337315603832 -0.0182348357283445 1.4652256804455803
69 0.09830714309658002 -0.995156121227312 -0.999895415660494 -0.014462286856789162 1.47234821181436
70 0.12083330010399194 -0.9926728129580152 -0.9999498072990431 -0.010019125840439347 1.4905579635310295
71 0.14345373012088258 -0.9896570250922311 -0.9999820602675207 -0.005989920126724219 1.508325687685645
72 -1.2801785325361818e-15 1.0 1.2459418839861468e-12 -1.0 2.0
73 0.17850384612740988 0.9839392140359697 -0.9999870765156686 0.005083974984804944 1.531991655907449
74 0.1246211519691323 0.9922043985398805 -0.9999573753876653 0.009232952280397364 1.4936230208300365
75 0.09039677236496167 0.9959058306617135 -0.999884456013334 0.01520113886915685 1.4664565624177277
76 0.09161652687146701 0.9957943623078059 -0.9998337315604288 0.018234835725853025 1.4652256804472763
77 0.09427830996236597 0.9955458805452615 -0.9998039334126372 0.01980138208860836 1.4659786088265085
78 0.09018564860558234 0.9959249714640106 -0.9996768769519584 0.025419317213070926 1.4593428485272766
79 0.09530802640308576 0.9954478289208073 -0.9997264336213745 0.023389269306394043 1.464239840996245
80 0.09893047933566793 0.9950943474155678 -0.9997839432471757 0.020786217191396363 1.4684855174677318
81 0.10130618121483118 0.9948552948281815 -0.9998106426605347 0.019459671701459805 1.4710047183595774
82 0.10273435160283438 0.9947088282511347 -0.9998784247661516 0.01559280882841697 1.4745925247682192
83 0.10397021415243066 0.9945804113137848 -0.9999518711810721 0.00981097963877988 1.4793291736623668
84 0.10419671987344421 0.9945567070648186 -0.9999998786616934 0.0004926221659698226 1.4857366970975556
85 0.10397392768990617 0.9945800231055992 0.9999704668022488 -0.007685409767395965 1.3443756156794082
86 0.10280598019187957 0.9947014277846329 0.9998924767076537 -0.014664072539186139 1.3504010128383714
87 0.10085221560117336 0.9949014175325788 0.9998101156986138 -0.019486727450369487 1.3553997988894444
88 0.09513056709091794 0.9954648035992837 0.9997010779393178 -0.024449023844858565 1.3632578716106114
89 0.10017200218803729 0.9949701352189622 0.9997704092306398 -0.0214272916347189 1.3573286349548408
90 0.08621914287140253 0.9962761963444278 0.9996887847741183 -0.024946614937635107 1.3701543040696968
91 0.10082969029128314 0.9949037006443207 0.9998118729491623 -0.019396358160437988 1.355349982118147
92 0.09031966505341663 0.9959128265589506 0.9998228369663672 -0.01882271713980266 1.3626753991194391
93 0.09519809917833949 0.9954583476533968 0.9998851215627979 -0.015157297824768209 1.3563932288816931
94 0.09074899977637654 0.995873796743135 0.9999382230603151 -0.01111530759717248 1.3567063425796115
95 0.3247905769092912 0.9457859594807537 0.9999909201966974 -0.004261399319737328 1.1655408562290814
96 1.2551649198867692e-14 -1.0 1.245942336026154e-12 -1.0 1.2333906868272863e-12
97 -0.9230428160153422 -0.3846972313423472 -0.01064738282498969 -0.9999433150128951 1.100451348301486
98 0.19416448271523512 -0.9809689870999618 0.9997523271302504 0.02225498590538349 1.2866351911407758
99 0.23199999774603974 -0.9727157863661089 0.9996428701548121 0.026723251086818257 1.2602198098525608
100 0.1658197824271254 -0.9861560727165963 0.9992748157523849 0.03807679874985645 1.3204924337411497
101 0.18816871324996215 -0.9821367192778476 0.9991632516683897 0.04089983515186891 1.3054945166655987
102 0.17055034133679348 -0.9853489641086063 0.9987365049783525 0.050253294654437515 1.3260333178327162
103 0.19365748687613565 -0.9810692013190606 0.9989669444643428 0.04544275374110819 1.304703075938147
104 0.19212386490067246 -0.9813706845711401 0.9988884275052219 0.04713713394071509 1.3071715236396964
105 0.20260816527531625 -0.9792598895920175 0.9992561653059309 0.038563144297192514 1.2925214753605505
106 0.2033641311578177 -0.9791031764622288 0.9994613352693346 0.032818276945003076 1.2875386542779905
107 0.20700389943877 -0.978340117554802 0.9998515709310944 0.01722893225427315 1.272699950156574
108 0.20742299096367756 -0.9782513495107902 -0.99999857542913 -0.0016879394866431714 1.5529143353026433
109 0.20592694467672104 -0.9785673678680027 -0.9997918898909711 -0.0204004144134485 1.540078510571346
110 0.20313580999358466 -0.9791505720256972 -0.9994580450350178 -0.0329183264273981 1.5302246380066409
111 0.19889156124997404 -0.9800215032658965 -0.9991461714353239 -0.04131498645932537 1.5219935392874882
112 0.19354910648525583 -0.9810905887729018 -0.9989407700044488 -0.046014541428972974 1.515387514745577
113 0.1876923676135845 -0.9822278631456182 -0.9988752393676217 -0.047415779844654976 1.5105682099867563
114 0.18227861806591616 -0.9832469198507463 -0.9989458085769735 -0.04590502724644573 1.5079459439014502
115 0.1789826472381711 -0.9838522307682269 -0.999123169530854 -0.041867554342477215 1.5083992992990736
116 0.18101319691505918 -0.9834806670914229 -0.9993624687791065 -0.03570232479445793 1.5137934133461302
